text,lang_zh,dir,superType
Bea Lubas,,食品,摄影
David Loftus,,食品,摄影
Dirk Dallas,,无人机,摄影
Gabriel Scanu,,无人机,摄影
Maksim Tarasov,,无人机,摄影
Carli Davidson,,宠物,摄影
Elke Vogelsang,,宠物,摄影
Seth Casteel,,宠物,摄影
Japanese woodblock,日本木版画,古代或传统,时代
Ukiyo-e,浮世绘,古代或传统,时代
Greek pottery-painting,希腊陶瓷绘画,古代或传统,时代
Renaissance,文艺复兴,古代或传统,时代
Baroque,巴洛克,古代或传统,时代
Rococo style,洛可可风格,古代或传统,时代
Neoclassicism,新古典主义,古代或传统,时代
Mannerism,风格主义,古代或传统,时代
Byzantine Art,拜占庭艺术,古代或传统,时代
Medieval Art,中世纪艺术,古代或传统,时代
Islamic Art,伊斯兰艺术,古代或传统,时代
Chinese Traditional Painting,中国传统绘画,古代或传统,时代
Fauvism,野兽派,现代(19世纪以来),时代
Cubist Futurism,立体主义未来主义,现代(19世纪以来),时代
Gothic art,哥特艺术,现代(19世纪以来),时代
Romanticism,浪漫主义,现代(19世纪以来),时代
Surrealism,超现实主义,现代(19世纪以来),时代
Futurism,未来主义,现代(19世纪以来),时代
Color Field painting,色彩领域绘画,现代(19世纪以来),时代
Op art,欧普艺术,现代(19世纪以来),时代
Minimalism,极简主义,现代(19世纪以来),时代
Art Deco,艺术装饰,现代(19世纪以来),时代
Realism,现实主义,现代(19世纪以来),时代
Expressionism,表现主义,现代(19世纪以来),时代
Modern,现代,现代(19世纪以来),时代
Bauhaus,包豪斯,现代(19世纪以来),时代
Constructivism,结构主义,现代(19世纪以来),时代
Social realism,社会现实主义,现代(19世纪以来),时代
American propaganda poster,美国宣传海报,现代(19世纪以来),时代
Studio Ghibli movie directed by Hayao Miyazaki retro anime,宫崎骏导演的吉卜力工作室复古动画,现代(19世纪以来),时代
Contemporary art,当代艺术,现代(19世纪以来),时代
Art Nouveau,新艺术,现代(19世纪以来),时代
Art Brut,原生艺术,现代(19世纪以来),时代
Abstract Expressionism,抽象表现主义,现代(19世纪以来),时代
Pop Art,波普艺术,现代(19世纪以来),时代
Post-Impressionism,后印象派,现代(19世纪以来),时代
Dadaism,达达主义,现代(19世纪以来),时代
Conceptual Art,概念艺术,现代(19世纪以来),时代
Installation Art,装置艺术,现代(19世纪以来),时代
Round Eyes,圆眼睛,眼睛,生物
Almond Eyes,杏仁眼,眼睛,生物
Hooded Eyes,眼皮下垂的眼睛,眼睛,生物
Monolid Eyes,单眼皮,眼睛,生物
Upturned Eyes,上翘眼,眼睛,生物
Downturned Eyes,下垂眼,眼睛,生物
Deep Set Eyes,深陷眼,眼睛,生物
Wide Set Eyes,大眼距,眼睛,生物
Close Set Eyes,小眼距,眼睛,生物
Protruding Eyes,突眼,眼睛,生物
Small Ears,小耳朵,耳朵,生物
Large Ears,大耳朵,耳朵,生物
Detached Earlobes,游离耳垂,耳朵,生物
Attached Earlobes,紧贴耳垂,耳朵,生物
Pointed Ears,尖耳朵,耳朵,生物
Round Ears,圆耳朵,耳朵,生物
Flappy Ears,耳朵贴不紧身体,耳朵,生物
Ear Piercings,耳朵穿孔,耳朵,生物
Ear Tattoos,耳朵纹身,耳朵,生物
Ear Cuffs,耳夹,耳朵,生物
Smiling,微笑,表情,生物
Frowning,皱眉,表情,生物
Laughing,大笑,表情,生物
Crying,哭泣,表情,生物
Surprised,惊讶,表情,生物
Angry,生气,表情,生物
Bored,无聊,表情,生物
Streamlined contours,流畅轮廓线条,形状与外形,细节
Matte finish,哑光处理,表面与纹理,细节
Fingerprint-resistant stainless steel,抗指纹不锈钢,材料,细节
Integrated touch screen,集成触控屏幕,功能元素,细节
Multicolor LED indicator,多色LED状态指示灯,功能元素,细节
Circular design elements,环形设计元素,形状与外形,细节
Hidden interfaces,隐藏式接口,设计,细节
Removable battery,可拆卸电池,功能元素,细节
Soft-touch buttons,软触按键,设计,细节
Waterproof and dustproof,防水防尘,功能元素,细节
Wear-resistant rubber pads,耐磨橡胶脚垫,设计,细节
Modular component design,模块化组件设计,功能元素,细节
Natural wood accents,自然木纹装饰,表面与纹理,细节
Magnetic accessory attachment,磁吸式配件连接,设计,细节
Transparent window,透明窗设计,设计,细节
Metal frame reinforcement,金属边框加固,结构元素,细节
Smooth rounded corners,光滑圆角设计,形状与外形,细节
Customizable color schemes,个性化配色方案,颜色,细节
Built-in silent fan,内置静音风扇,功能元素,细节
Unibody aluminum casing,一体化铝合金外壳,材料与结构,细节
Ergonomic design,人体工学设计,设计原理,细节
Compact size,紧凑尺寸,形状与外形,细节
Textured grip,纹理握把,表面与纹理,细节
High-gloss finish,高光泽度涂层,表面与纹理,细节
Digital display,数字显示屏,功能元素,细节
Reinforced glass,加固玻璃,材料,细节
Adjustable components,可调节组件,功能元素,细节
Soft LED lighting,柔和LED照明,功能元素,细节
Foldable design,可折叠设计,形状与外形,细节
Interchangeable parts,可互换部件,功能元素,细节
Precision machining,精密加工,制造工艺,细节
Thermal insulation,热隔绝,功能元素,细节
Magnetic closure,磁性闭合,设计,细节
Lightweight construction,轻量构造,材料与结构,细节
Scratch-resistant surface,抗刮擦表面,表面与纹理,细节
Smart connectivity,智能连接,功能元素,细节
Voice control enabled,支持语音控制,功能元素,细节
Sustainable materials,可持续材料,材料,细节
Biometric security features,生物识别安全特性,功能元素,细节
Articulated joints,关节式连接,设计,细节
Non-slip base,防滑底座,设计,细节
Modular assembly,模块化组装,设计原理,细节
Ambient lighting effects,环境照明效果,功能元素,细节
Quick-release mechanism,快速释放机制,设计,细节
Anodized aluminum finish,阳极化铝表面处理,表面与纹理,细节
Carbon fiber reinforcement,碳纤维加固,材料与结构,细节
Touch-sensitive controls,触敏控制,功能元素,细节
Multi-layer insulation,多层隔热,功能元素,细节
Aerodynamic shape,空气动力学形状,形状与外形,细节
Energy-efficient design,能效设计,设计原理,细节
Self-cleaning surface,自清洁表面,表面与纹理,细节
Integrated cable management,集成线缆管理,设计,细节
Dual-functionality elements,双功能元素,功能元素,细节
Anti-glare screen,防眩屏幕,功能元素,细节
Sound dampening materials,隔音材料,材料,细节
Silicone seals for waterproofing,硅胶密封防水,功能元素,细节
Hidden ventilation grilles,隐藏式通风格栅,设计,细节
Illuminated buttons,背光按钮,功能元素,细节
RFID-blocking technology,RFID屏蔽技术,功能元素,细节
Expandable storage compartments,可扩展储存仓,功能元素,细节
Pressure-sensitive input,压感输入,功能元素,细节
Solar power integration,太阳能集成,功能元素,细节
Pivot points for flexibility,转轴点提供灵活性,设计,细节
Infrared sensor technology,红外传感器技术,功能元素,细节
Antimicrobial coating,抗菌涂层,表面与纹理,细节
Color-changing LEDs,变色LED灯,功能元素,细节
Smart temperature regulation,智能温控,功能元素,细节
Built-in wireless charging,内置无线充电,功能元素,细节
Tool-free assembly,无需工具组装,设计,细节
Reversible design,可逆设计,形状与外形,细节
Precision laser cutting,精密激光切割,制造工艺,细节
Interactive touch interface,交互式触摸界面,功能元素,细节
Thermal resistant handles,耐热手柄,设计,细节
Custom engraving options,定制雕刻选项,设计,细节
Intelligent power management,智能电源管理,功能元素,细节
Motion sensing technology,运动感应技术,功能元素,细节
Detachable components for easy cleaning,便于清洁的可拆卸组件,设计,细节
Heated glass to prevent fogging,加热玻璃防雾,功能元素,细节
Adjustable lighting intensity,可调节照明强度,功能元素,细节
Impact-resistant design,抗冲击设计,结构元素,细节
Low noise operation,低噪音运作,功能元素,细节
Flexible silicone tubing,柔性硅胶管,材料,细节
Electromagnetic interference shielding,电磁干扰屏蔽,功能元素,细节
Voice-activated commands,语音激活指令,功能元素,细节
Portable and lightweight,便携轻巧,形状与外形,细节
Ultra-thin profile,超薄外形,形状与外形,细节
Easy-grip surface texture,易握表面纹理,表面与纹理,细节
Water-saving technology,节水技术,功能元素,细节
Digital signal processing,数字信号处理,功能元素,细节
Smart sensor adaptation,智能传感器适配,功能元素,细节
Integrated circuit protection,集成电路保护,功能元素,细节
Haptic feedback,触觉反馈,功能元素,细节
Customizable user interface,可定制用户界面,功能元素,细节
Multi-functional docking station,多功能对接站,功能元素,细节
Seamless edge design,无缝边缘设计,形状与外形,细节
UV sterilization feature,紫外线消毒功能,功能元素,细节
High-efficiency filters,高效过滤器,功能元素,细节
Smart auto-adjustment,智能自动调节,功能元素,细节
Anti-collision sensors,防碰撞传感器,功能元素,细节
Energy harvesting technology,能量收集技术,功能元素,细节
Retractable components,可伸缩组件,设计,细节
Biodegradable material options,生物可降解材料选项,材料,细节
Programmable buttons,可编程按钮,功能元素,细节
Adaptive noise cancellation,自适应噪声取消,功能元素,细节
Dynamic load balancing,动态负载平衡,功能元素,细节
Precision control knobs,精密控制旋钮,设计,细节
Ergonomic handle design,人体工学手柄设计,设计原理,细节
Rapid cooling system,快速冷却系统,功能元素,细节
Auto-off safety feature,自动关闭安全功能,功能元素,细节
Modular power supply,模块化电源,功能元素,细节
Organic Shape Design,有机形状设计,有机造型,细节
Topology Optimization,拓扑优化,拓扑优化造型,细节
Parametric Modeling,参数化建模,有机造型,细节
Generative Design,生成式设计,拓扑优化造型,细节
Freeform Surface Modeling,自由形态表面建模,有机造型,细节
Structural Optimization,结构优化,拓扑优化造型,细节
Biophilic Design,亲自然设计,有机造型,细节
Load Path Analysis,载荷路径分析,拓扑优化造型,细节
Smooth Mesh Generation,光滑网格生成,有机造型,细节
Finite Element Analysis,有限元分析,拓扑优化造型,细节
Curvilinear Form,曲线形态,有机造型,细节
Material Distribution,材料分布,拓扑优化造型,细节
Sculptural Form,雕塑形态,有机造型,细节
Design Space Definition,设计空间定义,拓扑优化造型,细节
Biomimicry,仿生学,有机造型,细节
Density-Based Optimization,基于密度的优化,拓扑优化造型,细节
Digital Sculpting,数字雕刻,有机造型,细节
Load-Bearing Structure,承载结构,拓扑优化造型,细节
Geometric Complexity,几何复杂性,有机造型,细节
Minimum Weight Structure,最小重量结构,拓扑优化造型,细节
Organic Growth Simulation,有机生长模拟,有机造型,细节
Stress Flow Visualization,应力流可视化,拓扑优化造型,细节
Morphogenetic Design,形态发生设计,有机造型,细节
Stiffness Optimization,刚度优化,拓扑优化造型,细节
Topological Flexibility,拓扑灵活性,有机造型,细节
Multi-Objective Optimization,多目标优化,拓扑优化造型,细节
Erosion-Based Modeling,基于侵蚀的建模,有机造型,细节
Void Distribution,空隙分布,拓扑优化造型,细节
Evolutionary Algorithms,进化算法,有机造型,细节
Lightweight Structures,轻量化结构,拓扑优化造型,细节
Fujicolor,柯达色彩,摄影与图像处理,摄影
cinematic lighting,电影照明,摄影与图像处理,摄影
blending,混合,摄影与图像处理,摄影
foreshortening,透视缩短,摄影与图像处理,摄影
backlighting,逆光,摄影与图像处理,摄影
scanlines,扫描线,摄影与图像处理,摄影
speed lines,速度线,摄影与图像处理,摄影
multiple monochrome,多重单色,摄影与图像处理,摄影
motion lines,动作线,摄影与图像处理,摄影
halftone,半调,摄影与图像处理,摄影
blurry,模糊,摄影与图像处理,摄影
vignetting,晕影,摄影与图像处理,摄影
jpeg artifacts,JPEG图像失真,摄影与图像处理,摄影
lens flare,镜头光晕,摄影与图像处理,摄影
motion blur,运动模糊,摄影与图像处理,摄影
diffraction spikes,衍射尖刺,摄影与图像处理,摄影
dithering,抖动,摄影与图像处理,摄影
chromatic aberration,色差,摄影与图像处理,摄影
drop shadow,投影阴影,摄影与图像处理,摄影
depth of field,景深,摄影与图像处理,摄影
emphasis lines,强调线,摄影与图像处理,摄影
film grain,胶片颗粒,摄影与图像处理,摄影
reflection light,反射光,摄影与图像处理,摄影
overexposure,过度曝光,摄影与图像处理,摄影
Panthera tigris,老虎,哺乳动物,生物
Gorilla beringei,山地大猩猩,哺乳动物,生物
Ailuropoda melanoleuca,大熊猫,哺乳动物,生物
Ara macao,金刚鹦鹉,鸟类,生物
Carcharodon carcharias,大白鲨,鱼类,生物
Python regius,球蟒,爬行动物,生物
Haliaeetus leucocephalus,白头海雕,鸟类,生物
Elephas maximus,亚洲象,哺乳动物,生物
Dendrobates auratus,金蟾蜍,两栖动物,生物
Canis lupus familiaris,家犬,哺乳动物,生物
Felis catus,家猫,哺乳动物,生物
Grizzly bear,灰熊,哺乳动物,生物
Spheniscus demersus,非洲企鹅,鸟类,生物
Chelonia mydas,绿海龟,爬行动物,生物
Oryctolagus cuniculus,欧洲野兔,哺乳动物,生物
Balaenoptera musculus,蓝鲸,哺乳动物,生物
Paroaria coronata,红冠卡迪纳鸟,鸟类,生物
Alligator mississippiensis,美国短吻鳄,爬行动物,生物
Equus ferus caballus,马,哺乳动物,生物
Tyrannosaurus rex,霸王龙,爬行动物,生物
Rosa chinensis,月季,花卉,生物
Sequoia sempervirens,美国红杉,乔木,生物
Quercus robur,英国橡树,乔木,生物
Nepenthes rajah,罗斯猪笼草,食虫植物,生物
Phyllostachys edulis,毛竹,竹类,生物
Triticum aestivum,小麦,草本植物,生物
Ginkgo biloba,银杏,乔木,生物
Tulipa spp.,郁金香,花卉,生物
Arabidopsis thaliana,拟南芥,草本植物,生物
Zea mays,玉米,草本植物,生物
Solanum lycopersicum,番茄,草本植物,生物
Helianthus annuus,向日葵,草本植物,生物
Orchis mascula,野生兰花,花卉,生物
Ficus elastica,橡皮树,乔木,生物
Lavandula angustifolia,真正薰衣草,草本植物,生物
Acer saccharum,糖枫,乔木,生物
Oryza sativa,水稻,草本植物,生物
Cymbidium spp.,兰花,花卉,生物
Aloe vera,芦荟,多肉植物,生物
Cannabis sativa,大麻,草本植物,生物
Elves,精灵,魔幻种族,生物
Dwarves,矮人,魔幻种族,生物
Orcs,兽人,魔幻种族,生物
Vulcans,瓦肯人,科幻种族,生物
Klingons,克林贡人,科幻种族,生物
Asari,阿萨瑞,科幻种族,生物
Trolls,巨魔,魔幻种族,生物
Hobbits,霍比特人,魔幻种族,生物
Dragons,龙,魔幻种族,生物
Sith,西斯,科幻种族,生物
Jedi,绝地,科幻种族,生物
Time Lords,时间领主,科幻种族,生物
Daleks,戴立克,科幻种族,生物
Na'vi,纳美人,科幻种族,生物
Fairies,仙女,魔幻种族,生物
Witches,巫师,魔幻种族,生物
Wizards,巫师,魔幻种族,生物
Centaurs,半人马,魔幻种族,生物
Merpeople,人鱼,魔幻种族,生物
Cyborgs,半机械人,科幻种族,生物
Rose,玫瑰,花卉,生物
Tulip,郁金香,花卉,生物
Lily,百合,花卉,生物
Sunflower,向日葵,花卉,生物
Peony,牡丹,花卉,生物
Chrysanthemum,菊花,花卉,生物
Orchid,兰花,花卉,生物
Daffodil,水仙,花卉,生物
Hyacinth,风信子,花卉,生物
Jasmine,茉莉,花卉,生物
Lavender,薰衣草,花卉,生物
Lotus,莲花,花卉,生物
Magnolia,玉兰,花卉,生物
Marigold,万寿菊,花卉,生物
Camellia,山茶花,花卉,生物
Begonia,秋海棠,花卉,生物
Azalea,杜鹃,花卉,生物
Cyclamen,仙客来,花卉,生物
Geranium,天竺葵,花卉,生物
Hibiscus,芙蓉,花卉,生物
Iris,鸢尾,花卉,生物
Snapdragon,金鱼草,花卉,生物
Violet,紫罗兰,花卉,生物
Poppy,罂粟,花卉,生物
Daisy,雏菊,花卉,生物
Gardenia,栀子花,花卉,生物
Gladiolus,剑兰,花卉,生物
Carnation,康乃馨,花卉,生物
Anemone,银莲花,花卉,生物
Freesia,小苍兰,花卉,生物
Pop,流行音乐,音乐类型,音乐
Rock,摇滚音乐,音乐类型,音乐
Jazz,爵士音乐,音乐类型,音乐
Blues,布鲁斯音乐,音乐类型,音乐
Classical,古典音乐,音乐类型,音乐
Hip Hop,嘻哈音乐,音乐类型,音乐
Rap,说唱音乐,音乐类型,音乐
R&B,节奏布鲁斯,音乐类型,音乐
Reggae,雷鬼音乐,音乐类型,音乐
Country,乡村音乐,音乐类型,音乐
Electronic,电子音乐,音乐类型,音乐
House,浩室音乐,音乐类型,音乐
Techno,技诺音乐,音乐类型,音乐
Trance,出神音乐,音乐类型,音乐
Dubstep,杜布斯音乐,音乐类型,音乐
Funk,放克音乐,音乐类型,音乐
Soul,灵魂音乐,音乐类型,音乐
Metal,金属音乐,音乐类型,音乐
Punk,朋克音乐,音乐类型,音乐
Folk,民谣音乐,音乐类型,音乐
Gospel,福音音乐,音乐类型,音乐
Disco,迪斯科音乐,音乐类型,音乐
Latin,拉丁音乐,音乐类型,音乐
K-Pop,韩国流行音乐,音乐类型,音乐
J-Pop,日本流行音乐,音乐类型,音乐
Indie,独立音乐,音乐类型,音乐
Ska,斯卡音乐,音乐类型,音乐
Grunge,垃圾摇滚,音乐类型,音乐
Ambient,环境音乐,音乐类型,音乐
World Music,世界音乐,音乐类型,音乐
Joyful,快乐,情感/气氛,音乐
Sad,悲伤,情感/气氛,音乐
Excited,兴奋,情感/气氛,音乐
Calm,平静,情感/气氛,音乐
Romantic,浪漫,情感/气氛,音乐
Nostalgic,怀旧,情感/气氛,音乐
Angry,愤怒,情感/气氛,音乐
Melancholic,忧郁,情感/气氛,音乐
Hopeful,充满希望,情感/气氛,音乐
Anxious,焦虑,情感/气氛,音乐
Fearful,恐惧,情感/气氛,音乐
Tense,紧张,情感/气氛,音乐
Energetic,充满活力,情感/气氛,音乐
Peaceful,宁静,情感/气氛,音乐
Mysterious,神秘,情感/气氛,音乐
Cheerful,愉快,情感/气氛,音乐
Reflective,沉思,情感/气氛,音乐
Optimistic,乐观,情感/气氛,音乐
Pensive,沉思的,情感/气氛,音乐
Grateful,感恩,情感/气氛,音乐
Confident,自信,情感/气氛,音乐
Frustrated,沮丧,情感/气氛,音乐
Surprised,惊讶,情感/气氛,音乐
Lonely,孤独,情感/气氛,音乐
Humorous,幽默,情感/气氛,音乐
Relaxed,放松,情感/气氛,音乐
Disappointed,失望,情感/气氛,音乐
Content,满足,情感/气氛,音乐
Suspenseful,悬疑,情感/气氛,音乐
Tender,温柔,情感/气氛,音乐
Piano,钢琴,乐器,音乐
Guitar,吉他,乐器,音乐
Violin,小提琴,乐器,音乐
Cello,大提琴,乐器,音乐
Flute,长笛,乐器,音乐
Clarinet,单簧管,乐器,音乐
Saxophone,萨克斯管,乐器,音乐
Trumpet,小号,乐器,音乐
Trombone,长号,乐器,音乐
Drums,鼓,乐器,音乐
Bass,贝斯,乐器,音乐
Harp,竖琴,乐器,音乐
Oboe,双簧管,乐器,音乐
Bassoon,低音管,乐器,音乐
Accordion,手风琴,乐器,音乐
Harmonica,口琴,乐器,音乐
Ukulele,尤克里里,乐器,音乐
Mandolin,曼陀林,乐器,音乐
Banjo,班卓琴,乐器,音乐
Marimba,马林巴,乐器,音乐
Xylophone,木琴,乐器,音乐
Timpani,定音鼓,乐器,音乐
Synthesizer,合成器,乐器,音乐
Electric Guitar,电吉他,乐器,音乐
Organ,管风琴,乐器,音乐
Viola,中提琴,乐器,音乐
Piccolo,短笛,乐器,音乐
Recorder,竖笛,乐器,音乐
Double Bass,低音提琴,乐器,音乐
Gong,锣,乐器,音乐
Guqin,古琴,中国乐器,音乐
Guzheng,古筝,中国乐器,音乐
Erhu,二胡,中国乐器,音乐
Pipa,琵琶,中国乐器,音乐
Dizi,笛子,中国乐器,音乐
Xiao,箫,中国乐器,音乐
Sheng,笙,中国乐器,音乐
Suona,唢呐,中国乐器,音乐
Yangqin,扬琴,中国乐器,音乐
Ruan,阮,中国乐器,音乐
Hulusi,葫芦丝,中国乐器,音乐
Xun,埙,中国乐器,音乐
Zhongruan,中阮,中国乐器,音乐
Liuqin,柳琴,中国乐器,音乐
Sanxian,三弦,中国乐器,音乐
Jinghu,京胡,中国乐器,音乐
Zhonghu,中胡,中国乐器,音乐
Paigu,排鼓,中国乐器,音乐
Dagu,大鼓,中国乐器,音乐
Tanggu,堂鼓,中国乐器,音乐
Muyu,木鱼,中国乐器,音乐
Luo,锣,中国乐器,音乐
Bianzhong,编钟,中国乐器,音乐
Daguangxian,大广弦,中国乐器,音乐
Shenghuang,笙簧,中国乐器,音乐
Zhudi,竹笛,中国乐器,音乐
Bawu,巴乌,中国乐器,音乐
Konghou,箜篌,中国乐器,音乐
Yungao,云锣,中国乐器,音乐
Yueluo,月锣,中国乐器,音乐
Verse,主歌,音乐结构,音乐
Chorus,副歌,音乐结构,音乐
Bridge,过渡段,音乐结构,音乐
Intro,前奏,音乐结构,音乐
Outro,尾声,音乐结构,音乐
Pre-Chorus,副歌前奏,音乐结构,音乐
Coda,结尾,音乐结构,音乐
Refrain,叠句,音乐结构,音乐
Interlude,间奏,音乐结构,音乐
Motif,动机,音乐结构,音乐
Theme,主题,音乐结构,音乐
Variation,变奏,音乐结构,音乐
Sonata Form,奏鸣曲式,音乐结构,音乐
Rondo,回旋曲式,音乐结构,音乐
Binary Form,二部曲式,音乐结构,音乐
Ternary Form,三部曲式,音乐结构,音乐
Strophic Form,诗节曲式,音乐结构,音乐
Through-composed,通篇合成式,音乐结构,音乐
Fugue,赋格曲式,音乐结构,音乐
Canon,卡农,音乐结构,音乐
Counterpoint,对位法,音乐结构,音乐
Ostinato,固定音型,音乐结构,音乐
Cadence,终止式,音乐结构,音乐
Modulation,调性转换,音乐结构,音乐
Sequence,模进,音乐结构,音乐
Recitative,宣叙调,音乐结构,音乐
Aria,咏叹调,音乐结构,音乐
Ritornello,返始段,音乐结构,音乐
Call and Response,呼应结构,音乐结构,音乐
Passacaglia,帕萨卡利亚,音乐结构,音乐
Largo,广板（非常慢）,节奏和速度,音乐
Adagio,柔板（慢板）,节奏和速度,音乐
Andante,行板（中速）,节奏和速度,音乐
Moderato,中板（适中速度）,节奏和速度,音乐
Allegro,快板,节奏和速度,音乐
Vivace,活泼的,节奏和速度,音乐
Presto,急板（非常快）,节奏和速度,音乐
Prestissimo,最急板,节奏和速度,音乐
Lento,慢速,节奏和速度,音乐
Grave,庄板（非常慢）,节奏和速度,音乐
Ritardando (Rit.),渐慢,节奏和速度,音乐
Accelerando (Accel.),渐快,节奏和速度,音乐
Rubato,自由速度,节奏和速度,音乐
Tempo,速度,节奏和速度,音乐
A Tempo,回到原速,节奏和速度,音乐
Fermata,延长音符,节奏和速度,音乐
Syncopation,切分音,节奏和速度,音乐
Polyrhythm,复节奏,节奏和速度,音乐
Triplet,三连音,节奏和速度,音乐
Duplet,二连音,节奏和速度,音乐
Ostinato,固定节奏,节奏和速度,音乐
Swing,摇摆节奏,节奏和速度,音乐
Waltz Time,华尔兹节奏,节奏和速度,音乐
March Time,进行曲节奏,节奏和速度,音乐
Syncopated Rhythm,切分节奏,节奏和速度,音乐
Downbeat,强拍,节奏和速度,音乐
Offbeat,弱拍,节奏和速度,音乐
Compound Meter,复拍子,节奏和速度,音乐
Simple Meter,简单拍子,节奏和速度,音乐
Cross-rhythm,交错节奏,节奏和速度,音乐
Wedding,婚礼,场景/用途,音乐
Birthday Party,生日派对,场景/用途,音乐
Corporate Event,公司活动,场景/用途,音乐
Classroom Learning,课堂学习,场景/用途,音乐
Fitness Training,健身训练,场景/用途,音乐
Meditation,冥想,场景/用途,音乐
Relaxation,放松,场景/用途,音乐
Commute,通勤,场景/用途,音乐
Home Entertainment,家庭娱乐,场景/用途,音乐
Travel,旅行,场景/用途,音乐
Concert Performance,音乐会表演,场景/用途,音乐
Marketing Campaign,营销活动,场景/用途,音乐
Product Launch,产品发布,场景/用途,音乐
Fundraising Event,筹款活动,场景/用途,音乐
Workshop,研讨会,场景/用途,音乐
Conference,会议,场景/用途,音乐
Festival,节日庆典,场景/用途,音乐
Networking Event,社交活动,场景/用途,音乐
Webinar,网络研讨会,场景/用途,音乐
Movie Night,电影之夜,场景/用途,音乐
Cooking Class,烹饪课程,场景/用途,音乐
Yoga Session,瑜伽课程,场景/用途,音乐
Study Session,学习会议,场景/用途,音乐
Therapy Session,治疗会议,场景/用途,音乐
Team Building,团队建设,场景/用途,音乐
Retirement Party,退休派对,场景/用途,音乐
Charity Event,慈善活动,场景/用途,音乐
Art Exhibition,艺术展览,场景/用途,音乐
Product Demonstration,产品演示,场景/用途,音乐
Virtual Reality Experience,虚拟现实体验,场景/用途,音乐
--sref 680572301 --personalize kzilt9y,噪点质感卡通风,风格,Midjourney
--sref 3102110963 --sw 500 --stylize 1000 --personalize 3xdy3qw,高纯度卡通风潮酷,风格,Midjourney
--sref 2519212683 --sw 500 --stylize 1000 --personalize 3xdy3qw,绿色萤光,风格,Midjourney
--personalize 3xdy3qw,这个作者有质感,作者,Midjourney
--sw 500 --stylize 1000,常用,其他,Midjourney
--sref 3841075374,抽象黑白,单纯风格,Midjourney
--sref 2602,腐蚀的青红橙,单纯风格,Midjourney
--sref 10409192,紫黄噪点质感,单纯风格,Midjourney
--sref 376735,纸张解构,单纯风格,Midjourney
--sref 2806024214,橙白摩登,单纯风格,Midjourney
--sref 1530792017,野生青橙画法,单纯风格,Midjourney
--sref 4029852131,胶片感花园,单纯风格,Midjourney
--sref 417488148,平面橙色拼贴,单纯风格,Midjourney
--sref 1648693186,微缩景观,单纯风格,Midjourney
--sref 2907424065,纯净纯色构造,单纯风格,Midjourney
--sref 1056112643,摄影感留白,单纯风格,Midjourney
--sref 2800304979 --personalize --stylize 1000,柔和黑白,风格,Midjourney
--sref 4004081544 --personalize --stylize 950,仙气国风,风格,Midjourney
--sref 1089739591 --personalize uvatu8o --stylize 750,线条流动粗旷,风格,Midjourney
--sref 4203538001 --personalize --stylize 1000,蓝白水墨,风格,Midjourney
-sref 985867229 --personalize --stylize 1000,仙气写实龙,风格,Midjourney
--sref 3430149288,黄昏橙,单纯风格,Midjourney
--sref 3342654963,粉搞怪黑背景,单纯风格,Midjourney
--sref 2247297859,橙蓝线条,单纯风格,Midjourney
--sref 794839710,蓝色忧郁,单纯风格,Midjourney
--sref 755616403,彩色透明,单纯风格,Midjourney
--sref 2350917108,淡粉黑摄影,单纯风格,Midjourney
--sref 242793564,低纯绿噪点质感卡通风,单纯风格,Midjourney
--sref 1132832705,美国老电影,单纯风格,Midjourney
--sref 1612582939,线条质感卡通,单纯风格,Midjourney
